Texto,Contagem de RT's,ID,Criado em,Link
RT @Metropoles: 🚨 Exclusivo! O Ministério Paralelo em ação. Vídeos comprovam aconselhamento feito por médicos a Bolsonaro em pleno Palácio…,8458,2801690090532606000,Fri Jun 04 16:00:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @Metropoles: 🚨 Exclusivo! O Ministério Paralelo em ação. Vídeos comprovam aconselhamento feito por médicos a Bolsonaro em pleno Palácio…,4229,1400845057075429000,Fri Jun 04 16:01:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
RT @Metropoles: 🚨 Exclusivo! O Ministério Paralelo em ação. Vídeos comprovam aconselhamento feito por médicos a Bolsonaro em pleno Palácio…,4229,1400845066797826000,Fri Jun 04 16:01:05 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RT @Metropoles: 🚨 Exclusivo! O Ministério Paralelo em ação. Vídeos comprovam aconselhamento feito por médicos a Bolsonaro em pleno Palácio…,4228,1400845072074265000,Fri Jun 04 16:01:06 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
RT @Metropoles: 🚨 Exclusivo! O Ministério Paralelo em ação. Vídeos comprovam aconselhamento feito por médicos a Bolsonaro em pleno Palácio…,4228,1400845099546911000,Fri Jun 04 16:01:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
RT @Metropoles: 🚨 Exclusivo! O Ministério Paralelo em ação. Vídeos comprovam aconselhamento feito por médicos a Bolsonaro em pleno Palácio…,4228,1400845106601673000,Fri Jun 04 16:01:14 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @JoaoSaconi: O Exército decidiu não punir Eduardo Pazuello pela presença em manifestação no Rio. Aqui no estado, um sargento da Marinha,…",3253,1400845077094806000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"RT @JoaoSaconi: O Exército decidiu não punir Eduardo Pazuello pela presença em manifestação no Rio. Aqui no estado, um sargento da Marinha,…",3253,1400845109319582000,Fri Jun 04 16:01:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"RT @JoaoSaconi: O Exército decidiu não punir Eduardo Pazuello pela presença em manifestação no Rio. Aqui no estado, um sargento da Marinha,…",3253,1400845117930476000,Fri Jun 04 16:01:17 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @jairbolsonaro: -Live de toda quinta-feira sobre assuntos referentes a semana (03/06/2021).
-PR Jair Bolsonaro.
-Acompanhe: https://t.co…",2452,1400845068601336000,Fri Jun 04 16:01:05 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"RT @QuebrandoOTabu: É desesperador o Brasil da era Bolsonaro
A gente tem que defender a Amazônia, a Ciência, as bolsas de estudo, o Enem, o…",2325,1400845064075723000,Fri Jun 04 16:01:04 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
